species	speciations	duplications	losses
Node_Cloeon_dipterum_Anabrus_simplex_0	12	6	0
Node_Cloeon_dipterum_Hetaerina_americana_0	3	0	9
Node_Cloeon_dipterum_Neocloeon_triangulifer_0	1	0	2
Node_Clunio_marinus_Polypedilum_vanderplanki_0	5	1	1
Node_Coccinella_septempunctata_Aethina_tumida_0	6	0	0
Node_Coccinella_septempunctata_Harmonia_axyridis_0	4	1	3
Node_Colias_croceus_Pieris_rapae_0	4	0	0
Node_Colias_croceus_Zerene_cesonia_0	3	0	1
Node_Condylostylus_longicornis_Episyrphus_balteatus_0	7	1	4
Node_Contarinia_nasturtii_Sitodiplosis_mosellana_0	1	0	2
Node_Coptotermes_formosanus_Cryptotermes_secundus_0	6	2	0
Node_Cotesia_glomerata_Microplitis_demolitor_0	0	0	1
Node_Culex_pipiens_pallens_Culex_quinquefasciatus_0	3	0	7
Node_Culex_pipiens_pallens_Ochlerotatus_camptorhynchus_0	10	0	1
Node_Culicoides_brevitarsis_Clunio_marinus_0	5	0	3
Node_Culicoides_brevitarsis_Lutzomyia_longipalpis_0	14	4	2
Node_Culicoides_brevitarsis_Toxorhynchites_rutilus_septentrionalis_0	8	0	6
Node_Cydia_pomonella_Cydia_splendana_0	4	0	0
Node_Cylas_formicarius_Anoplophora_glabripennis_0	7	0	0
Node_Cylas_formicarius_Anthonomus_grandis_grandis_0	6	2	3
Node_Dalotia_coriaria_Nicrophorus_vespilloides_0	3	1	2
Node_Danaus_plexippus_Bicyclus_anynana_0	6	0	0
Node_Diabrotica_virgifera_virgifera_Diorhabda_carinulata_0	6	2	0
Node_Diorhabda_carinulata_Diorhabda_sublineata_0	4	0	2
Node_Diprion_similis_Neodiprion_fabricii_0	3	0	0
Node_Drosophila_albomicans_Drosophila_nasuta_0	13	0	0
Node_Drosophila_ananassae_Drosophila_bipectinata_0	13	1	13
Node_Drosophila_ananassae_Drosophila_kikkawai_0	25	3	3
Node_Drosophila_arizonae_Drosophila_mojavensis_0	11	1	2
Node_Drosophila_biarmipes_Drosophila_subpulchrella_0	15	0	4
Node_Drosophila_elegans_Drosophila_rhopaloa_0	14	0	9
Node_Drosophila_elegans_Drosophila_takahashii_0	23	1	1
Node_Drosophila_erecta_Drosophila_sechellia_0	19	0	0
Node_Drosophila_erecta_Drosophila_teissieri_0	16	0	3
Node_Drosophila_eugracilis_Drosophila_melanogaster_0	22	0	4
Node_Drosophila_ficusphila_Drosophila_elegans_0	23	1	2
Node_Drosophila_grimshawi_Drosophila_montana_0	19	1	0
Node_Drosophila_guanche_Drosophila_subobscura_0	11	0	2
Node_Drosophila_hydei_Drosophila_navojoa_0	16	2	4
Node_Drosophila_kikkawai_Drosophila_ficusphila_0	24	1	2
Node_Drosophila_kikkawai_Drosophila_serrata_0	14	4	14
Node_Drosophila_mauritiana_Drosophila_simulans_0	13	0	0
Node_Drosophila_melanogaster_Drosophila_erecta_0	19	2	5
Node_Drosophila_miranda_Drosophila_persimilis_0	14	3	5
Node_Drosophila_montana_Drosophila_hydei_0	18	0	1
Node_Drosophila_montana_Drosophila_novamexicana_0	14	0	4
Node_Drosophila_navojoa_Drosophila_arizonae_0	12	0	4
Node_Drosophila_novamexicana_Drosophila_virilis_0	13	2	3
Node_Drosophila_obscura_Drosophila_ananassae_0	25	6	5
Node_Drosophila_obscura_Drosophila_guanche_0	13	0	3
Node_Drosophila_obscura_Drosophila_miranda_0	16	2	11
Node_Drosophila_persimilis_Drosophila_pseudoobscura_0	14	1	1
Node_Drosophila_sechellia_Drosophila_mauritiana_0	13	1	7
Node_Drosophila_subpulchrella_Drosophila_suzukii_0	10	0	5
Node_Drosophila_sulfurigaster_albostrigata_Drosophila_albomicans_0	13	4	9
Node_Drosophila_sulfurigaster_albostrigata_Drosophila_grimshawi_0	18	2	8
Node_Drosophila_sulfurigaster_albostrigata_Drosophila_obscura_0	24	9	2
Node_Drosophila_takahashii_Drosophila_biarmipes_0	19	0	7
Node_Drosophila_takahashii_Drosophila_eugracilis_0	26	6	3
Node_Drosophila_teissieri_Drosophila_yakuba_0	14	1	3
