species_label	speciations	duplications	losses
Node_Cephus_cinctus_Orussus_abietinus_0	3	0	0
Node_Ceratina_calcarata_Eufriesea_mexicana_0	1	0	0
Node_Ceratitis_capitata_Zeugodacus_cucurbitae_0	2	0	0
Node_Ceratosolen_solmsi_marchali_Nasonia_vitripennis_0	1	0	0
Node_Chelonus_insularis_Cotesia_glomerata_0	1	0	2
Node_Chilo_suppressalis_Achroia_grisella_0	7	0	2
Node_Chilo_suppressalis_Manduca_sexta_0	9	1	2
Node_Chilo_suppressalis_Ostrinia_furnacalis_0	7	0	0
Node_Chilo_suppressalis_Parnassius_apollo_0	10	0	0
Node_Chrysoperla_carnea_Agrilus_planipennis_0	8	0	5
Node_Chrysoperla_carnea_Plutella_xylostella_0	13	1	0
Node_Cloeon_dipterum_Anabrus_simplex_0	9	3	0
Node_Cloeon_dipterum_Hetaerina_americana_0	5	0	4
Node_Cloeon_dipterum_Neocloeon_triangulifer_0	3	0	2
Node_Clunio_marinus_Polypedilum_vanderplanki_0	2	0	2
Node_Coccinella_septempunctata_Aethina_tumida_0	12	0	3
Node_Coccinella_septempunctata_Harmonia_axyridis_0	6	0	6
Node_Colias_croceus_Pieris_rapae_0	4	0	0
Node_Colias_croceus_Zerene_cesonia_0	4	0	0
Node_Colletes_gigas_Dufourea_novaeangliae_0	1	0	0
Node_Colletes_gigas_Hylaeus_anthracinus_0	1	0	0
Node_Colletes_gigas_Megachile_rotundata_0	1	0	1
Node_Condylostylus_longicornis_Episyrphus_balteatus_0	5	0	0
Node_Contarinia_nasturtii_Sitodiplosis_mosellana_0	1	0	2
Node_Copidosoma_floridanum_Phymastichus_coffea_0	2	0	0
Node_Coptotermes_formosanus_Cryptotermes_secundus_0	5	0	1
Node_Cotesia_glomerata_Microplitis_demolitor_0	1	0	0
Node_Culex_pipiens_pallens_Culex_quinquefasciatus_0	2	0	1
Node_Culex_pipiens_pallens_Ochlerotatus_camptorhynchus_0	3	0	0
Node_Culicoides_brevitarsis_Clunio_marinus_0	4	0	1
Node_Culicoides_brevitarsis_Lutzomyia_longipalpis_0	10	0	1
Node_Culicoides_brevitarsis_Toxorhynchites_rutilus_septentrionalis_0	5	0	5
Node_Cydia_pomonella_Cydia_splendana_0	3	0	0
Node_Cylas_formicarius_Anoplophora_glabripennis_0	4	0	4
Node_Cylas_formicarius_Anthonomus_grandis_grandis_0	2	0	2
Node_Cyphomyrmex_costatus_Trachymyrmex_septentrionalis_0	4	0	1
Node_Dalotia_coriaria_Nicrophorus_vespilloides_0	3	0	3
Node_Danaus_plexippus_Bicyclus_anynana_0	7	0	0
Node_Diabrotica_virgifera_virgifera_Diorhabda_carinulata_0	2	0	1
Node_Diachasma_alloeum_Diachasmimorpha_longicaudata_0	2	1	0
Node_Dinoponera_quadriceps_Odontomachus_brunneus_0	1	0	0
Node_Diorhabda_carinulata_Diorhabda_sublineata_0	2	0	0
Node_Diprion_similis_Neodiprion_fabricii_0	1	0	0
Node_Drosophila_albomicans_Drosophila_nasuta_0	6	0	0
Node_Drosophila_ananassae_Drosophila_bipectinata_0	5	0	7
Node_Drosophila_ananassae_Drosophila_kikkawai_0	12	0	0
Node_Drosophila_arizonae_Drosophila_mojavensis_0	5	0	0
Node_Drosophila_biarmipes_Drosophila_subpulchrella_0	7	0	1
Node_Drosophila_elegans_Drosophila_rhopaloa_0	7	0	2
Node_Drosophila_elegans_Drosophila_takahashii_0	9	1	2
Node_Drosophila_erecta_Drosophila_sechellia_0	6	0	0
Node_Drosophila_erecta_Drosophila_teissieri_0	5	0	1
Node_Drosophila_eugracilis_Drosophila_melanogaster_0	7	0	2
Node_Drosophila_ficusphila_Drosophila_elegans_0	10	0	1
Node_Drosophila_grimshawi_Drosophila_montana_0	7	0	1
Node_Drosophila_guanche_Drosophila_subobscura_0	6	0	1
Node_Drosophila_hydei_Drosophila_navojoa_0	6	0	1
Node_Drosophila_kikkawai_Drosophila_ficusphila_0	11	0	1
Node_Drosophila_kikkawai_Drosophila_serrata_0	6	0	5
Node_Drosophila_mauritiana_Drosophila_simulans_0	5	0	0
Node_Drosophila_melanogaster_Drosophila_erecta_0	6	1	2
Node_Drosophila_miranda_Drosophila_persimilis_0	6	0	2
Node_Drosophila_montana_Drosophila_hydei_0	7	1	1
Node_Drosophila_montana_Drosophila_novamexicana_0	8	1	0
Node_Drosophila_navojoa_Drosophila_arizonae_0	5	0	1
Node_Drosophila_novamexicana_Drosophila_virilis_0	7	0	1
Node_Drosophila_obscura_Drosophila_ananassae_0	12	4	2
Node_Drosophila_obscura_Drosophila_guanche_0	7	0	1
Node_Drosophila_obscura_Drosophila_miranda_0	8	1	5
Node_Drosophila_persimilis_Drosophila_pseudoobscura_0	5	0	1
Node_Drosophila_sechellia_Drosophila_mauritiana_0	5	0	1
Node_Drosophila_subpulchrella_Drosophila_suzukii_0	5	0	2
Node_Drosophila_sulfurigaster_albostrigata_Drosophila_albomicans_0	6	0	2
Node_Drosophila_sulfurigaster_albostrigata_Drosophila_grimshawi_0	8	0	2
Node_Drosophila_sulfurigaster_albostrigata_Drosophila_obscura_0	10	4	0
Node_Drosophila_takahashii_Drosophila_biarmipes_0	8	0	1
Node_Drosophila_takahashii_Drosophila_eugracilis_0	9	1	1
Node_Drosophila_teissieri_Drosophila_yakuba_0	5	0	0
Node_Dufourea_novaeangliae_Megalopta_genalis_0	1	0	0
Node_Eciton_burchellii_Linepithema_humile_0	3	1	0
Node_Eciton_burchellii_Ooceraea_biroi_0	2	0	1
Node_Episyrphus_balteatus_Anastrepha_ludens_0	4	0	1
Node_Episyrphus_balteatus_Eupeodes_corollae_0	4	1	1
Node_Eriocheir_sinensis_Scylla_paramamosain_0	2	1	2
Node_Eufriesea_mexicana_Bombus_affinis_0	1	0	0
Node_Folsomia_candida_Cloeon_dipterum_0	6	1	0
Node_Fopius_arisanus_Diachasma_alloeum_0	1	0	1
Node_Frankliniella_occidentalis_Homalodisca_vitripennis_0	12	0	2
Node_Frankliniella_occidentalis_Pediculus_humanus_corporis_0	14	3	0
Node_Frankliniella_occidentalis_Thrips_palmi_0	5	1	8
Node_Frieseomelitta_varia_Melipona_quadrifasciata_0	1	0	0
Node_Glossina_fuscipes_Calliphora_vicina_0	3	0	0
Node_Gonioctena_quinquepunctata_Diabrotica_virgifera_virgifera_0	3	0	1
Node_Gonioctena_quinquepunctata_Leptinotarsa_decemlineata_0	2	0	1
Node_Halyomorpha_halys_Rhodnius_prolixus_0	3	0	6
Node_Harpegnathos_saltator_Dinoponera_quadriceps_0	1	0	1
Node_Harpegnathos_saltator_Eciton_burchellii_0	2	1	1
Node_Helicoverpa_armigera_Helicoverpa_zea_0	3	0	0
Node_Helicoverpa_armigera_Spodoptera_frugiperda_0	3	0	0
Node_Hermetia_illucens_Condylostylus_longicornis_0	5	0	2
Node_Hetaerina_americana_Ischnura_elegans_0	2	0	3
